BillNo,Sn,ArriveDate,RecordDate
QZ0011556,0,960508,970626
QZ0011557,0,960508,970626
QZ0011561,0,960508,970626
QZ0011635,0,960512,980205
QZ0011637,0,960509,970430
QZ0011640,0,960509,970626
QZ0011652,0,960510,961114
QZ0011653,0,960510,961114
QZ0011654,0,960510,961114
QZ0011670,0,960509,970626
QZ0011680,0,960509,970911
QZ0011698,0,960510,970626
QZ0011706,0,960509,961114
QZ0011717,0,960509,961114
QZ0011721,0,960509,970626
QZ0011722,0,960509,970626
QZ0011723,0,960509,970626
QZ0011724,0,960509,970626
QZ0011725,0,960509,970626
QZ0011726,0,960509,970626
QZ0011728,0,960509,970626
QZ0011740,0,960508,970430
QZ0011741,0,960508,970430
QZ0011748,0,960509,970626
QZ0011749,0,960509,970626
QZ0011752,0,960509,970626
QZ0011814,0,960509,970626
QZ0011836,0,960601,970626
QZ0011843,0,960509,970626
QZ0011848,0,960601,970626
QZ0011849,0,960601,970626
QZ0011874,0,960509,970626
QZ0011876,0,960509,970626
QZ0011877,0,960509,970626
QZ0011884,0,960510,970626
QZ0011885,0,960510,970626
QZ0011888,0,960509,970626
QZ0011889,0,960509,970626
QZ0011891,0,960511,961114
QZ0011892,0,960511,961114
QZ0011893,0,960511,961114
QZ0011894,0,960511,961114
QZ0011895,0,960511,961114
QZ0011896,0,960511,961114
QZ0011901,0,960510,961114
QZ0011904,0,960629,970717
QZ0011910,0,960509,970626
QZ0011935,0,960509,970626
QZ0011936,0,960509,970626
QZ0011937,0,960509,970626
QZ0011942,0,960508,970626
QZ0011945,0,960511,970901
QZ0011961,0,960509,970626
QZ0011962,0,960510,970626
QZ0011963,0,960510,970626
QZ0011982,0,960509,970626
QZ0011983,0,960509,970626
QZ0011984,0,960509,970626
QZ0011985,0,960509,970626
QZ0012015,0,960509,970626
QZ0012017,0,960529,970901
QZ0012029,0,960508,970417
QZ0012040,0,960509,970626
QZ0012066,0,960509,970626
QZ0012079,0,960510,970327
QZ0012084,0,960509,970519
QZ0012089,0,960509,961114
QZ0012091,0,960613,970430
QZ0012106,0,960601,970626
QZ0012120,0,960601,970626
QZ0012122,0,960601,970626
QZ0012133,0,960601,980205
QZ0012146,0,960601,970626
QZ0012147,0,960604,970626
QZ0012160,0,960601,970626
QZ0012162,0,960601,970626
QZ0012165,0,960601,970626
QZ0012166,0,960601,970626
QZ0012167,0,960601,970626
QZ0012176,0,960605,961114
QZ0012177,0,960605,970430
QZ0012178,0,960605,970430
QZ0012188,0,960601,961114
QZ0012205,0,960601,970626
QZ0012218,0,960601,970519
QZ0012271,0,960601,970626
QZ0012272,0,960601,970626
QZ0012273,0,960601,970626
QZ0012274,0,960601,970626
QZ0012275,0,960601,970626
QZ0012285,0,960622,961114
QZ0012286,0,960622,961114
QZ0012287,0,960622,961114
QZ0012294,0,960604,961114
QZ0012298,0,960604,970626
QZ0012299,0,960604,970626
QZ0012305,0,960601,970626
QZ0012314,0,990601,961114
QZ0012324,0,960601,970430
QZ0012338,0,960604,970626
QZ0012339,0,960604,970626
QZ0012340,0,960604,970626
QZ0012341,0,960604,970626
QZ0012342,0,960604,970626
QZ0012343,0,960604,970626
QZ0012344,0,960604,970626
QZ0012345,0,960604,970626
QZ0012347,0,960604,970626
QZ0012348,0,960604,970626
QZ0012367,0,960601,970626
QZ0012375,0,960601,970626
QZ0012381,0,960604,970626
QZ0012411,0,960601,970626
QZ0012426,0,960601,970626
QZ0012502,0,960629,970214
QZ0012696,0,960622,970430
QZ0012718,0,960614,970710
QZ0012719,0,960614,970710
QZ0012729,0,960614,970710
QZ0012731,0,960615,970710
QZ0012739,0,960614,970710
QZ0012752,0,960614,970710
QZ0012760,0,960615,970710
QZ0012775,0,960614,970710
QZ0012776,0,960614,970710
QZ0012792,0,960614,970911
QZ0012796,0,960614,970519
QZ0012803,0,960614,970710
QZ0012804,0,960614,970710
QZ0012805,0,960614,970710
QZ0012806,0,960614,970710
QZ0012807,0,960614,970710
QZ0012812,0,960615,970710
QZ0012815,0,960614,970710
QZ0012831,0,960614,961114
QZ0012834,0,960614,970710
QZ0012835,0,960620,970430
QZ0012836,0,960620,970430
QZ0012837,0,960620,970430
QZ0012838,0,960620,970430
QZ0012839,0,960620,970430
QZ0012847,0,960614,970710
QZ0012864,0,960620,970815
QZ0012865,0,960620,970815
QZ0012881,0,960614,970710
QZ0012882,0,960614,970710
QZ0012883,0,960614,970710
QZ0012884,0,960614,970710
QZ0012900,0,960614,970710
QZ0012903,0,960614,970710
QZ0012907,0,960614,970710
QZ0012910,0,960620,970430
QZ0012915,0,960614,970710
QZ0012924,0,960615,970620
QZ0012932,0,960614,970710
QZ0012943,0,960615,970710
QZ0012944,0,960614,970710
QZ0012945,0,960614,970710
QZ0012946,0,960614,970710
QZ0012947,0,960614,970710
QZ0012948,0,960614,970710
QZ0012949,0,960614,970710
QZ0012950,0,960614,970710
QZ0012951,0,960614,970710
QZ0012952,0,960614,970710
QZ0012960,0,960614,970710
QZ0012961,0,970725,970924
QZ0012962,0,970725,970924
QZ0012969,0,960622,961114
QZ0012970,0,960622,961114
QZ0012971,0,960622,961114
QZ0012972,0,960622,961114
QZ0012973,0,960622,961114
QZ0012974,0,960622,961114
QZ0012975,0,960622,961114
QZ0012981,0,960614,970430
QZ0012985,0,960620,970710
QZ0012990,0,960614,970710
QZ0012991,0,960614,970710
QZ0012996,0,960614,970710
QZ0012999,0,960614,970710
QZ0013001,0,960615,970710
QZ0013002,0,960615,970710
QZ0013003,0,960615,970710
QZ0013037,0,960615,970710
QZ0013038,0,960614,970710
QZ0013041,0,960614,970710
QZ0013042,0,960614,970710
QZ0013043,0,960614,970710
QZ0013044,0,960614,970710
QZ0013045,0,960614,970710
QZ0013046,0,960614,970710
QZ0013047,0,960614,970710
QZ0013048,0,960614,970710
QZ0013049,0,960614,970710
QZ0013050,0,960614,970710
QZ0013051,0,960614,970710
QZ0013052,0,960614,970710
QZ0013053,0,960614,970710
QZ0013054,0,960614,970710
QZ0013055,0,960614,970710
QZ0013056,0,960614,970710
QZ0013057,0,960614,970710
QZ0013079,0,960614,970710
QZ0013080,0,960614,970710
QZ0013081,0,960614,970710
QZ0013082,0,960614,970710
QZ0013095,0,960614,970710
QZ0013099,0,960614,970710
QZ0013125,0,960614,970710
QZ0013146,0,960614,970710
QZ0013147,0,960614,970710
QZ0013162,0,960614,970710
QZ0013179,0,960614,971021
QZ0013186,0,960614,970519
QZ0013199,0,960626,970508
QZ0013200,0,960626,970508
QZ0013203,0,960626,970710
QZ0013206,0,960626,970710
QZ0013207,0,960626,970710
QZ0013208,0,960626,970710
QZ0013209,0,960626,970710
QZ0013216,0,960626,970710
QZ0013239,0,960626,970710
QZ0013244,0,960626,970710
QZ0013250,0,960626,970710
QZ0013261,0,960626,970710
QZ0013262,0,960627,961114
QZ0013269,0,960704,970430
QZ0013276,0,960626,970430
QZ0013283,0,960626,970710
QZ0013284,0,960626,970710
QZ0013285,0,960626,970710
QZ0013286,0,960626,970710
QZ0013319,0,960626,970710
QZ0013322,0,960626,970710
QZ0013324,0,960626,970710
QZ0013329,0,960626,970430
QZ0013356,0,960628,970430
QZ0013375,0,960627,970430
QZ0013472,0,960626,970430
QZ0013473,0,960626,970508
QZ0013501,0,960626,970710
QZ0013504,0,960626,970710
QZ0013505,0,960713,970327
QZ0013510,0,960626,970710
QZ0013514,0,960627,961114
QZ0013540,0,960626,970710
QZ0013541,0,960626,970710
QZ0013542,0,960627,970710
QZ0013550,0,960626,970710
QZ0013557,0,960703,961114
QZ0013558,0,960703,961114
QZ0013559,0,960703,961114
QZ0013560,0,960703,961114
QZ0013577,0,970626,970417
QZ0013579,0,960626,970710
QZ0013583,0,960626,970430
QZ0013586,0,960626,970710
QZ0013598,0,960626,970710
QZ0013608,0,960626,970710
QZ0013663,0,960626,970710
QZ0013664,0,960627,970519
QZ0013665,0,960627,970519
QZ0013666,0,960627,970519
QZ0013667,0,960627,970519
QZ0018466,0,961030,961102
QZ0013668,0,960627,970519
QZ0013669,0,960627,970519
QZ0013670,0,960627,970519
QZ0013671,0,960627,970519
QZ0013672,0,960627,970519
QZ0013673,0,960627,970519
QZ0013674,0,960627,970519
QZ0013675,0,960627,970519
QZ0013676,0,960627,970519
QZ0013677,0,960627,970519
QZ0013678,0,960627,970519
QZ0013679,0,960627,970519
QZ0013680,0,960627,970519
QZ0013682,0,960626,970710
QZ0013684,0,960626,970710
QZ0013691,0,960626,970710
QZ0013692,0,960626,970710
QZ0013693,0,960626,970710
QZ0013694,0,960626,970710
QZ0013695,0,960626,970710
QZ0013696,0,960626,970710
QZ0013697,0,960626,970710
QZ0013698,0,960626,970710
QZ0013699,0,960626,970710
QZ0013700,0,960626,970710
QZ0013703,0,960626,970710
QZ0013704,0,960626,970710
QZ0013715,0,960626,970710
QZ0013723,0,960626,970710
QZ0013724,0,960626,970710
QZ0013730,0,960626,970710
QZ0013731,0,960627,970710
QZ0013732,0,960626,970710
QZ0013753,0,960626,970710
QZ0013754,0,960626,970710
QZ0013776,0,960626,970710
QZ0013788,0,960626,970710
QZ0013795,0,960627,970710
QZ0013801,0,960626,970710
QZ0013802,0,960626,970710
QZ0013804,0,960626,970710
QZ0013829,0,960628,971002
QZ0013834,0,960626,970519
QZ0013982,0,960718,970710
QZ0014045,0,970119,961210
QZ0014046,0,970119,961210
QZ0014104,0,960801,970214
QZ0014109,0,960718,970710
QZ0014256,0,960717,970912
QZ0014640,0,970119,961210
QZ0014654,0,960723,970710
QZ0014724,0,970119,961210
QZ0014761,0,970119,961210
QZ0014817,0,970119,961210
QZ0015824,0,970119,961210
QZ0015938,0,970119,961210
QZ0017868,0,961011,970911
QZ0018263,0,961030,961102
QZ0018273,0,961030,961102
QZ0018301,0,961030,961102
QZ0018302,0,961030,961102
QZ0018311,0,961028,961102
QZ0018314,0,961030,961102
QZ0018355,0,961030,961102
QZ0018371,0,970119,961210
QZ0018377,0,961030,961102
QZ0018402,0,961030,961102
QZ0018410,0,961030,961102
QZ0018411,0,961030,961102
QZ0018412,0,961030,961102
QZ0018436,0,961030,961102
QZ0018437,0,961030,961102
QZ0018440,0,961030,961102
QZ0018462,0,961030,961102
QZ0018467,0,961030,961102
QZ0018470,0,961030,961102
QZ0018471,0,961030,961102
QZ0018473,0,961030,961102
QZ0018474,0,961030,961102
QZ0018475,0,961030,961102
QZ0018523,0,961029,970122
QZ0018540,0,961030,961102
QZ0018547,0,961030,961102
QZ0018548,0,961030,961102
QZ0018565,0,961030,961102
QZ0018568,0,961030,961102
QZ0018569,0,961030,961102
QZ0018609,0,961030,961102
